title,brand,rating,reviews,price,original_price,discount,url
"realme TechLife 8.5 kg 5 Star Rating, Toughened Glass lid, and Heavy Duty Motor Semi Automatic Top Load Washing Machine Grey, Black  (RMSA855NNNMG)",,4.2,"85,791 Ratings & 7,629 Reviews","₹ 9,790","₹ 17,990",45% off,https://www.flipkart.com/realme-techlife-8-5-kg-5-star-rating-toughened-glass-lid-heavy-duty-motor-semi-automatic-top-load-washing-machine-grey-black/p/itm4c8c74a0f7a80?pid=WMNH74VD4BQXMCDT&lid=LSTWMNH74VD4BQXMCDTBDBWSH&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_11&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhQExfy9hodRAdgN5uxyqMVCCKNdr3XJPd2k0Iy3SAO8nGaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"Thomson 8 kg 5 Star Aqua Magic Grande Series with Floral Toughened Glass and Double Waterfall Semi Automatic Top Load Washing Machine Black, Grey  (TSG8000)",Thomson,4.1,"25,404 Ratings & 2,196 Reviews","₹ 8,999","₹ 12,999",30% off,https://www.flipkart.com/thomson-8-kg-5-star-aqua-magic-grande-series-floral-toughened-glass-double-waterfall-semi-automatic-top-load-washing-machine-black-grey/p/itm19805c9b3ce40?pid=WMNH27MKNMWCT2DW&lid=LSTWMNH27MKNMWCT2DWCMV7G1&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_12&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhTLl3H9QYhC7oumbI6mIlCtk3imrApru7uly1Izg_C0QInfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"MarQ by Flipkart 6.5 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Blue, White  (MQSA655NNNDN / MQSA65H5M)",,4.3,"58,902 Ratings & 5,867 Reviews","₹ 7,190","₹ 12,990",44% off,https://www.flipkart.com/marq-flipkart-6-5-kg-5-star-rating-innowash-range-semi-automatic-top-load-washing-machine-blue-white/p/itm243449e2c4c86?pid=WMNGYHCXZFYND4HB&lid=LSTWMNGYHCXZFYND4HBNSNRUZ&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=default_TrendingId_j9e%2Fabm%2F8qx&srno=s_1_13&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGYHCXZFYND4HB.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"Whirlpool 7 kg 5 Star Inverter 100+ Tough Stains, Steam Technology Fully Automatic Front Load Washing Machine with In-built Heater Silver  (SUPREME CARE SILVER 7012 -E)",Whirlpool,4.1,"1,301 Ratings & 105 Reviews",,,,https://www.flipkart.com/whirlpool-7-kg-5-star-inverter-100-tough-stains-steam-technology-fully-automatic-front-load-washing-machine-in-built-heater-silver/p/itm939f01da1fb4a?pid=WMNHDVCWRDHGXGZD&lid=LSTWMNHDVCWRDHGXGZDIJDTAZ&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_14&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhQimcSOIc5AcbcbeZlv334z6Ni8-aDZutQgf57AqZ-dzx7zrT4gkWAkPCdPBnPCejA%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"Voltas Beko by A Tata Product 10 kg Semi Automatic Top Load Washing Machine Blue, White  (WTT100UPA/BL5KPTD)",Voltas Beko,4.3,"22,160 Ratings & 1,515 Reviews","₹ 12,990","₹ 20,590",36% off,https://www.flipkart.com/voltas-beko-tata-product-10-kg-semi-automatic-top-load-washing-machine-blue-white/p/itm7fff5af75b285?pid=WMNGQ9GGYZNNJ5FN&lid=LSTWMNGQ9GGYZNNJ5FNFHQDZN&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_15&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGQ9GGYZNNJ5FN.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"Godrej 7 kg Zero Pressure Technology Fills Tub 60% Faster, Fabrisafe Steel Drum Fully Automatic Top Load Washing Machine Grey, Black  (WTEON ALP 70 5.0 FDUN GPGR)",Godrej,4.2,"8,201 Ratings & 579 Reviews","₹ 12,990","₹ 27,300",52% off,https://www.flipkart.com/godrej-7-kg-zero-pressure-technology-fills-tub-60-faster-fabrisafe-steel-drum-fully-automatic-top-load-washing-machine-grey-black/p/itm98364367d4e69?pid=WMNHBY3UPAZEXKHC&lid=LSTWMNHBY3UPAZEXKHCIYFTXM&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_16&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNHBY3UPAZEXKHC.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
MOTOROLA 10 kg 5 star rating Midnight Series Semi Automatic Top Load Washing Machine Black  (MTSA1005NNNDB),,4.3,"13,054 Ratings & 1,099 Reviews","₹ 10,490","₹ 20,990",50% off,https://www.flipkart.com/motorola-10-kg-5-star-rating-midnight-series-semi-automatic-top-load-washing-machine-black/p/itm6c9502b48a028?pid=WMNGSZYNQ5DBHUX5&lid=LSTWMNGSZYNQ5DBHUX5RWWVRX&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_17&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhQXPBD0RLRF4gBrTWzqButTFYSiCKLAp0q2fuZkiAq6jMsrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
realme TechLife 10 kg Semi Automatic Top Load Washing Machine Grey  (RMSA1005NNNHS),,4.2,"85,791 Ratings & 7,629 Reviews","₹ 10,490","₹ 19,990",47% off,https://www.flipkart.com/realme-techlife-10-kg-semi-automatic-top-load-washing-machine-grey/p/itmc3f06d7ae96a0?pid=WMNHA7C74AU2HXUV&lid=LSTWMNHA7C74AU2HXUVVL54QH&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_18&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhS_owObYcVmbkz9qVY97aMGpvv3cAzfcExGlUE9Kpb3UsDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"LG 8 kg 5 Star with Roller Jet Pulsator with Soak, Wind Jet Dry and Rat Away, 6 Kg (Spin Tub Capacity), Semi Automatic Top Load Washing Machine Multicolor  (P8030SGAZ)",LG,4.5,"6,519 Ratings & 428 Reviews",,,30% off,https://www.flipkart.com/lg-8-kg-5-star-roller-jet-pulsator-soak-wind-dry-rat-away-6-spin-tub-capacity-semi-automatic-top-load-washing-machine-multicolor/p/itme46032c6324b4?pid=WMNGGYQTWHG5VVYZ&lid=LSTWMNGGYQTWHG5VVYZDILP2O&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_19&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGGYQTWHG5VVYZ.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 7.0 GENX GREY 5YMW),Whirlpool,4.1,"38,929 Ratings & 2,523 Reviews","₹ 14,970","₹ 21,400",30% off,https://www.flipkart.com/whirlpool-7-kg-magic-clean-5-star-fully-automatic-top-load-washing-machine-grey/p/itm50fdb8ca1e478?pid=WMNGDSUXZS5BWH7H&lid=LSTWMNGDSUXZS5BWH7HEWG6XA&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_20&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGDSUXZS5BWH7H.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
