title,price,actual_price,rating,discount,brand,url
,,,,,,https://www.amazon.in/LG-Technology-Fully-Automatic-Washing-FHB1207Z2M/dp/B0DG8RPQNS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-8
,,,,,,https://www.amazon.in/Havells-Lloyd-Semi-Automatic-Washing-Machine-GLWS705ARDVGDark/dp/B0FHMGTFML/ref=sr_1_9?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-9
"LG 7.5 Kg 5 Star Smart Inverter Technology Fully Automatic Top Load Washing Machine (T75VBMB1Z, Auto Prewash, Turbodrum, Stainless Steel drum, LED Display, Smart Diagnosis, Middle Black)","₹18,990.00","₹27,990",,-32%,Visit the LG Store,https://www.amazon.in/LG-Technology-Automatic-T75VBMB1Z-Turbodrum/dp/B0DQY8JMMD/ref=sr_1_10?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-10
,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDMzMzUyNzY4NTg4MzgxOjE3NTYzNjM3Mzg6c3BfbXRmOjMwMDIzODI2Mzk4NzIzMjo6MDo6&url=%2FGodrej-Fully-Automatic-WFEON-ARG-6010%2Fdp%2FB0D53LM2CX%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%26qid%3D1756363738%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=eZz4J9eDnB&sp_cr=ZAZ
,,,,,,https://www.amazon.in/LG-Technology-Fully-Automatic-FHB1207Z2W-Allergens/dp/B0F4QQVV1L/ref=sr_1_13?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-13
,,,,,,https://www.amazon.in/Samsung-Fully-Automatic-Ecobubble-WA80BG4441BGTL-Technology/dp/B0B8NK5HTH/ref=sr_1_14?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-14
,,,,,,https://www.amazon.in/Haier-Semi-Automatic-Loading-Washing-HTW70-1187BTN/dp/B0C8BDB9WZ/ref=sr_1_15?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-15
,,,,,,https://www.amazon.in/Ionstar-Semi-Automatic-Washing-Machine/dp/B0DXQ523M8/ref=sr_1_16?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-16
,,,,,,https://www.amazon.in/Bosch-Anti-Tangle-Anti-Wrinkle-Fully-Automatic-WAJ28260IN/dp/B0F4K415FW/ref=sr_1_17?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-17
,,,,,,https://www.amazon.in/Samsung-Inverter-Fully-Automatic-WA70BG4441YYTL-Technology/dp/B0B8NHX62W/ref=sr_1_18?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-18
