title,url,brand,capacity (Kilograms),colour,special feature,price,mrp,rating,reviews,discount (%),depth (Centimeters),width (Centimeters),height (Centimeters)
Whirlpool 8 Kg 5 MAGIC CLEAN PRO SW H Fully Automatic Top Load Washing Machine (MAGIC CLEAN PRO SW H KG GREY 10YMW with In-Built Heater),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDE2NzgxODY2NjU2OTQ0OjE3NTU4NDM0MjA6c3BfYXRmX25leHQ6MzAwNjQzNDQzOTA1MjMyOjowOjo&url=%2FWhirlpool-Fully-Automatic-Washing-Machine%2Fdp%2FB0DGLPJ1MB%2Fref%3Dsr_1_82_sspa%3Fdib%3DeyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%26qid%3D1755843420%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=bx2WzU1dk4&sp_cr=ZAZ,Whirlpool,8,Grey,Inbuilt Heater,18990,23700,3.9,12010,20,58,54,101
"Godrej 6 Kg 5 Star AI Powered, Eco Wash, Steam Wash, Anti-Fade Color Programs, Pause The Wash Cycle, Child Lock, Fully Automatic Front Load Washing Machine (WFEON ARG 6010 5.0, Silver Stream)",https://www.amazon.in/Godrej-Fully-Automatic-WFEON-ARG-6010/dp/B0D53LM2CX/ref=sr_1_83?dib=eyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI&dib_tag=se&keywords=washing+machine&qid=1755843420&sr=8-83,Godrej,6,N/A,"AI Tech, Steam wash",22790,38500,3.9,157,41,40,59.5,85
"Panasonic 8 Kg Wifi Fully-Automatic Top Loading Smart Washing Machine (NA-F80CH3CRB, Charcoal Inox Grey, Drynamic Spin)",https://www.amazon.in/Panasonic-Fully-Automatic-NA-F80CH3CRB-Charcoal-Drynamic/dp/B0CWLLBV2D/ref=sr_1_84?dib=eyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI&dib_tag=se&keywords=washing+machine&qid=1755843420&sr=8-84,Panasonic,8,N/A,Smart Connectivity,N/A,N/A,4.2,519,N/A,58.5,52.5,95
"LG 9.0 Kg, 5 Star, AI Direct Drive Technology, Steam Wash for Allergy Removal, Fully-Automatic Top Loading Washing Machine (THD09SPM, Middle Black, More Fabric Care & Convenience, In-Built Heater)",https://www.amazon.in/LG-Technology-Fully-Automatic-THD09SPM-Convenience/dp/B0D77VVBQD/ref=sr_1_85?dib=eyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI&dib_tag=se&keywords=washing+machine&qid=1755843420&sr=8-85,LG,9,N/A,"Child Lock, High Efficiency, Hygiene Steam, Inbuilt Heater, Inverter",N/A,N/A,4.2,448,N/A,56,54,94.5
SeMi AuToMaTiC FoLdInG 9L SmAlL MiNi WaShInG MaChInE WiTh DrYeR DeEp CLeAnInG FoR UnDeRwEaR WaShINg MaChInE SeMi AuToMaTiC N34,https://www.amazon.in/AuToMaTiC-FoLdInG-WaShInG-CLeAnInG-UnDeRwEaR/dp/B0FGW91945/ref=sr_1_86?dib=eyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI&dib_tag=se&keywords=washing+machine&qid=1755843420&sr=8-86,N/A,N/A,N/A,N/A,2098,2098,5,3,46,N/A,N/A,N/A
"LG 12 Kg, 5 Star, AI Direct Drive Technology, Wi-Fi, Steam Fully Automatic Front-Loading Washing Machine (FHP1412Z5O, Intelligent & Convenient Fabric Care, Allergy Care, Remote Control, Onyx Black)",https://www.amazon.in/LG-Technology-Front-Loading-FHP1412Z5O-Intelligent/dp/B0FDBBZWT6/ref=sr_1_87?dib=eyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI&dib_tag=se&keywords=washing+machine&qid=1755843420&sr=8-87,LG,12,Onyx Black,"Child Lock, High Efficiency, Hygiene Steam, Inverter, Smart Connectivity",47990,61990,5,2,23,56.5,60,85
"Voltas Beko, Top Load 7 Kg 5 Star Eco Wash/Monsoon Dry Fully-Automatic Washing Machine (WTL70, Water Reuse, Side Waterfall, Mansoon Dry, Dark Grey)",https://www.amazon.in/Voltas-Beko-Fully-Automatic-Top-Loading-WTL70/dp/B0C9M1ZM5S/ref=sr_1_88?dib=eyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI&dib_tag=se&keywords=washing+machine&qid=1755843420&sr=8-88,Voltas Beko,7,Dark Grey,"Side Waterfall, Monsoon Dry, ECO/Water Reuse, Magic Filter, Child Lock, Auto Balance Detection",N/A,N/A,3.8,565,N/A,55,52.5,90.5
"IFB 7.5 Kg 5 Star with DeepClean® Technology, AI Powered, Fully Automatic Top Load Washing Machine (TL751MS2S, PowerSteam®, Inbuilt Heater, Mystic Silver)",https://www.amazon.in/IFB-DeepClean%C2%AE-Technology-TL751MS2S-PowerSteam%C2%AE/dp/B0DSLLJKPB/ref=sr_1_89?dib=eyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI&dib_tag=se&keywords=washing+machine&qid=1755843420&sr=8-89,IFB,7.5,N/A,N/A,22490,29190,3.8,54,23,57.5,54.3,94.6
Semi Automatic Folding 2kg Top Loading Mini Washing Machine with Dryer Deep Cleaning for Underwear Washing Machine Clothes Washer,https://www.amazon.in/Automatic-Folding-Washing-Cleaning-Underwear/dp/B0FM7WW4N1/ref=sr_1_90?dib=eyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI&dib_tag=se&keywords=washing+machine&qid=1755843420&sr=8-90,Monkemon,N/A,Multicolor,N/A,1299,2499,4.6,4986,48,N/A,N/A,N/A
"IFB 6.5 Kg 5 Star with Deep Clean® Technology, AI Powered, Fully Automatic Top Load Washing Machine (TL650MG1, ActivMix, Aqua Energie, Med Grey)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDE2NzgxODY2NjU2OTQ0OjE3NTU4NDM0MjA6c3BfbXRmOjMwMDY1NzE5ODgzNDUzMjo6MDo6&url=%2FIFB-Powered-Automatic-TL650MG1-ActivMix%2Fdp%2FB0D8LGCYZD%2Fref%3Dsr_1_91_sspa%3Fdib%3DeyJ2IjoiMSJ9.I2f46ENgENAhGLi8mtFRvbqutqsdLZoccDvbUMYk8XRwHzZDk4HYZlcLtQXQGXz8s_o4e4FE8OdqyAZgg5e_ef830YlH_IRVsGN2zimbcKpn6wvRbaoQEZFZ8_1Io23bO0RG5Ep2m2wDvf7Y1t5i6BJV0nrfvkTXeLhCy9vAwoVtrzfxpPNb7-iJTYEOM5-CKqT1efnMSuwvCS_rYJkVng9uEjq7aXf-AJnoH9qFqfE.1reGq2TBMzBvnDAuR-TNhiXKNVr0PMR2DZHLrI6kadI%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%26qid%3D1755843420%26sr%3D8-91-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=MxJFlrPiNZ&sp_cr=ZAZ,IFB,6.5,Med Grey,N/A,16990,22390,3.9,1619,24,57.5,54.3,91.2
